Reference Title,Reference Link,Short Title,Description of Patient Harm,Direct Quote,Time Point,Speciality,Technical Domain,Clinical Impact Score
Social Media,Removed,Failures in Pyxis and anaesthetic machines lead to cancellation of electric procedures,"Staff report cancellation of non urgent procedures due to the GI Lab being affected by the cyberattack and the loss of the Pyxis and anaesthetic machines, preventing effective treatment.","This happened to my hospital last year, we were down like 2-3 days. I was working in the GI Lab at the time and had to cancel all elective procedures because it affected our Pyxis and anesthesia machines. The amount of people who prepped for a colonoscopy just for it to be canceled the day of their procedures 🥴🥴🥴",First Week,All,Operating Rooms,8
Social Media,Removed,Families cannot contact patients recovering from surgery,"Due to the cyberattack affecting communication systems, family members and relatives could not find out the outcomes of their relative’s surgery and receive updates on their condition. ","A week ago today I went in for what was supposed to be a four hour procedure to remove part of my tongue and lymph nodes. The procedure also would have confirmed my stage being early and luckily serve as the start and stop of my treatment for squamous cell carcinoma, one night spent in the hospital.

Instead, I wake up covered with grease and grime, told it was four days later. My throat started closing in response to the surgery and I had to be intubated to stay alive. Meanwhile, the hospital was facing a nationwide cyber attack, so my poor mother kept getting texts saying my procedure was finished, while I was in intensive care.

I could rant endlessly about the experience, from how humiliating I felt being treated by terrible nurses, to the fear of not knowing a damn update thanks to the cyber attack. But really, I am just exhausted. My legs of all things have never felt more fatigued in my life. I know I'll need more rest to recover, but I also feel like I have had my fill of that. I feel like I'm in a terrible limbo between being restless but also truly unable to walk beyond a geriatrics's pace.

I'm just ranting here but I'd love to hear from y'all, especially if your ""good"" immune system really screwed you over during surgery. What was your journey like?",First Week,Oncology; General Surgery; Orthopaedics,Communications,2
Social Media,Removed,GP/Primary Care Practitioners loose access to digital systems,Patient reports visiting GP and finding that all GP systems were down,Just went to the GP all systems down. Just the backlog of work this will create for the NHS means it won't be over tomorrow. Took ***'s 10 days to recover from there IT failure just last week they got back up. Ironically they were one of the first down again today.,First Week,All,Health Records,5
Social Media,Removed,Hospital IT Staff Burnout due to increased pressures,Technical staff responding to cyberattack face long shifts and experience burnout,"It was one of the worst days of my life. We spent from Friday to Monday to patch around 23k servers across 6 clients. I slept a total of 10 hours, in the office. Never again",Week 2,All,Health Records,2
Social Media,Removed,Hospital put on diversion causing delays in patient care,"Staff report that hospitals under cyberattack were put on diversion, potentiating severe incidents of patient harm or death.",My hospital was hit and emr/pacs was down for over a week. Not a small system either. There were undoubtedly deaths due to diversion and I cant even imagine the amount of revenue it knocked off.,First Day,Emergency & Acute Medicine,Hospital Infrastructure,9
Social Media,Removed,Imaging cancellations cause delays in referrals for pain patients,"Patient reports that they require imaging for referral to pain management, however the cancellation of imaging appointments due to the cyberattack resulted in delays","In a whirlwind of luck over the years and since the pandemic, I’ve been on a struggling journey with getting referred to pain management. Physical therapies, step therapy on meds, to switching doctors and finally getting through with x-rays and to my first appointment.

I saw my doctor at the beginning of the month and he and his facility seemed pretty nice as the visit went well.

Now literally right to the week I was scheduled for my MRI (out of all days) the imaging company here in Florida suffered a cyberattack and had to cancel appointments until further notice. Which means I can’t be seen by pain management again until my imaging is done.

Has something crazy like this ever happened to anyone?",Week 2,Neurology,Imaging,5
Social Media,Removed,"Inability to process billing, preventing payments for care","The Change cyberattack prevented the billing team for carrying out their job as normal, impacting usual billing and coding processes.","So... to preface- I work at a small, one Doctor Ophthalmology clinic. I've been there a very long, long time- I've done everything from front desk to MA, and was appointed to help the then biller with entering superbills and the like because she was struggling to keep up. Immediately I noticed something wasn't right, we had always had issues with patients not receiving bills, or having debt they didn't owe and never paid. It became apparent to me that she had like, no clue what the heck she was doing- and by the power of ADHD and pure determination I taught myself how to bill and code for our practice and got our billing situation at least for the 2023 year- i'm still hard at work repairing accounts. Debts written off as bad ins when it's a pt debt, not applying and allocating funds to the correct line items- billing thru mailed hcfa's when there was electronic payer ids, and the worst one- never updating the fee schedule/ billing 92 codes/ never telling the dr about no one paying ***'s other than the local medi-cal ins and like, tricare. It was reallly bad, the Dr was furious. I managed to put the fire out in oct of last year. In january they decided to switch to the ***+ function of DR Chrono, handing over the billing process to them completely aside from the coding (which I still do). It's been rough.   The Change cyber attack has put everything into disarray, and the *** billing team is very bad at communicating stuff. I dont think the manager really understands what it takes to move to a different clearinghouse, we've been stuck not getting medicare or tricare payments because she hasn't enrolled with them. It sucks!! I have discovered I have a real love for billing and coding, it just clicks with me. I don't think they want me to get accredited because they would have to pay me more than 21$ an hr lol. I guess my question is- am I crazy??? Does anyone have experience with dr chronos billing management? I was totally kept up w claims, a day behind in sending them out. now it takes like 2 weeks to get anything out and they dont update us on stuff.. How have you guys dealth with the change thing? lurking has told me its awful for everyone.. sorry this is tl;dr, i appreciate any input!!!!!",First Week,All,Admin and Billing,3
Social Media,Removed,Incomplete downtime forms lead to missed patient results,Rinat Gabbay-Benziv,"Our LIS is still up and running. The trade off is that we have to manually register every patient into our system. In addition to printing results, attaching a copy to the original downtime forms, and the issues inherent in that system.  Floors are sending us orders on any random form (medication order forms, etc)... When we made sure they all have lab downtime forms. Or even better, sending forms where the patient's name is cut off and can't be read. I lost it this weekend and called the staffing supervisor to handle it, since the nurses were ignoring every request we made for them to submit orders correctly. And ER (really, one nurse in particular) keeps sending me specimens with NO downtime form. I mean, really? Do you want me to make up some test orders? Ugh.  It's a lot. So, so much. It really feels like the start of COVID, when everyone was making it up as they went along. Protocol has changed multiple times since the start of this. It's so exhausting.",First Week,All,Laboratory Systems,7
Social Media,Removed,Increased anxiety amongst psych patients regarding breached data,"Mental Health patients express increased anxiety regarding cyberattack, due to concerns about sensitive psychiatric information being shared with other parties.",Just had a rather pointless meeting with my new Psychiatrist who knew nothing about me because she couldn't access my medical records. Anyone else been effected? Saw something in the news a few weeks ago but not since. Bit worried my information could get in the wrong hands.,First Week,Psychiatry,Health Records,7
Social Media,Removed,Increased staffing needs due to blood sample testing issues,Staff report the issues in accessing blood tests and radiology scans required greater levels of staffing from the first week.,"My hospital is in meltdown. Can't access blood tests, radiology etc. and in most cases they can't even run the test in the first place. There has now been an emergency meeting with management, the result of which is extra staff being drafted in for over the weekend. Thank christ I'm on annual leave starting tomorrow.",First Week,All,Hospital Infrastructure,5
Social Media,Removed,Loss of CCTV on Psychiatry wards causing staff safety concerns,Staff report concerns regarding their personal safety on wards affected by the cyberattack that lose CCTV,Am a nurse in a UHS pysch facility... I'm wondering if I'm safe at work... no conclusive word on whether or not the camera systems are operating or accessible. Risk management can't turn their computers on just like the rest of us. Never thought I'd be so stressed about the lack of eye in the sky action 🙄 Been very careful not to discuss the situation in front of patients. It's wracking my nerves for sure.,First Day,Psychiatry,Hospital Infrastructure,3
Social Media,Removed,Loss of paging systems for communicatoins,Staff report issues with phones and paging systems in the hospital.,I got an email from my hospital. What happened to you guys? [Comment] Entire computer system down. Phones and pagers spotty too.,First Day,All,Communications,6
Social Media,Removed,Failures in critical care response due to loss of comms/paging. ,"Healthcare practitioner describes a patient death due to inability to get hold of a doctor, relating to cyberattack impacts on the communication systems. ","I had a similar thing happen at my old hospital. Saw a dude die and couldn’t get ahold of doctors because no one had the attendings fucking number. Not once mentioned in the news that we had been hacked; and there was zero support  [Comment] That’s kind of why I’m finally here. Besides the updates on our Facebook page I’m not seeing anything about this! And it’s the entire state!!  It’s crazy how much this affects everything. At the end of the day it’s patient care but one simple moment of someone forgetting something a patient verbally told them in passing lead to somebody’s blood sugar being in the 30s because they simply FORGOT to hunt down the paper chart, figure out who the nurse and provider are and let them know because more emergent things happened. This was an hour after the crash, and I have been thinking about it for two weeks. Horrible. And that’s just a relatively small thing.",First Day,Emergency & Acute Medicine,Communications,10
Social Media,Removed,Patients experience worse symptoms due to lost outpatient maintenance medications,Patient reports needing injection of migraine relief due to loss of access to usual outpatient medications,"I called today CVS and was told the same thing, I am 3 weeks overdue my dr had to give me a shot in my hip yesterday because I had a migraine so bad [Comment] I was just at CVS and they said some of the savings cards are starting to go through, but none for Emgality yet. She said hopefully in the next few days",Week 2,All,ePrescribing,6
Social Media,Removed,Barriers to accessing psychiatric care due to lost historic notes,Patients report barriers in psychiatric care consultations due to specialists having no information on their prior medical history.,Just had a rather pointless meeting with my new Psychiatrist who knew nothing about me because she couldn't access my medical records. Anyone else been effected? Saw something in the news a few weeks ago but not since. Bit worried my information could get in the wrong hands.,First Week,Psychiatry,Health Records,3
Social Media,Removed,New patients unable to register for insurance / health cover.,"Patients unable to register and get approval for Medicaid/care cover, due to the backlog of issues following a data breach.","So I applied for Medicaid using Maryland Health Connection since I am a Maryland resident. Apparently there was a data breach with whatever databases they use and they have been backlogged with applications and the verification process has been delayed.

I sent in my application on December 22, 2021, and on the website it shows that I have an active enrollment in Medicaid, but my Managed Care Organization (MCO) is still pending state approval.  Maryland Health Connection hasn’t been particularly helpful. I’ve called them multiple times and I get different answers from different people. One representative even said that my MCO was approved but that is clearly not the case.

The most recent representative I spoke to confirmed that I am active in Medicaid but my MCO is still pending due to the data breach. They also said that my coverage began on December 1 because coverage starts the month you apply. However they then said that I won’t be active until late February. I have no idea what this means and when I asked for further clarification they pretty much said verbatim the same thing over again. How can my coverage begin if I’m not active? What is being active? Can someone please explain? This has been a nightmare.

Also, the representative said that I can use my Medicaid ID number if I go to the doctor in the meantime (since I haven’t received any ID card or documentation in the mail) and Medicaid will receive whatever bills my doctor is issuing out. Is this a legit thing to do? Has anyone done this before? Was it a seamless process?",Week 2,All,Admin and Billing,6
Social Media,Removed,Newborn deaths due to telemetry failures and misinterpretation,Staff member reports incorrect read of foetal monitor leading to complications and brain death in a newborn,"Happened to my hospital almost two years ago for I think almost two weeks. The L&D nurses had to just listen for the baby’s heart rate by sitting near the doors because the central monitoring strips were down. Somehow, the monitor was tracking the mothers heart rate and they didn’t realize it wasn’t the baby’s for a while. The baby was down for so long it had no brain activity after birth and they withdrew care.  People will die without modern technology.",First Week,Obstetrics; Paediatrics,Telemetry,10
Social Media,Removed,Newborns don’t receive birth certificates,"Patients report that after giving birth their newborns did not receive birth information or birth certificates, precluding community follow up and potentiating future administrative issues","I just had a scheduled induction at one of their hospitals last week.  There were 2 nurses in my room the whole time I was in labor, watching me and my baby on the monitors. I'm on daily medication and had to bring it from home.  There were some communication problems between nurses since some things weren't written down. I also left the hospital without the birth certificate info. They told me they won't know when they would be able to process his birth information to obtain his birth certificate.",First Week,Obstetrics; Paediatrics,Health Records,4
Social Media,Removed,Newborns don’t receive birth certificates,"Patients report that after giving birth their newborns did not receive birth information or birth certificates, precluding community follow up and potentiating future administrative issues","I gave birth at ascension with this cyber attack, the first day it happened and it did not affect my care at all as a patient! I feel bad for the nurses and doctors and all staff having to deal with this though. The only thing it’s affecting right now is the process of them doing the birth certificate and social security card because they have to manually enter everything. This is in Florida where I gave birth and everything went really smooth and quick for me so I can only hope the same for everyone else.",First Week,Obstetrics; Paediatrics,Health Records,4
Social Media,Removed,No follow up for patients initiated on new treatments,"Patient reports new symptoms as a result of starting Budenoside medication for a new diagnosis of Crohn’s, however cyberattack prevent follow up appointments and a review of the medication side effects","Recently diagnosed with ulcerative colitis, suspected Crohn's (because of the cyber attacks on Ireland's medical system everything is on hold and nothing can be accessed so I have no official diagnosis)

I was put on budesonide a little over a week ago but my appetite has become insatiable, I am constantly hungry even after eating a large meal, a week ago I could only eat a kids sized portion of food. has anyone else experienced this and have any ideas/recommendations about what I should do?",Week 2,All,Health Records,3
Social Media,Removed,No prescriptions for patients receiving healthcare at home,Patients who report home-based services (e.g. sub-cut infliximab) have their treatments cancelled due to failures in IT prescription services,"In true *** form, my local trust has been subject to a cyber attack and seem to be making no progress in fixing the issue.

They use *** HealthNet to provide sub-cut infliximab to me. I have ran out and due my next dose on Thursday. I am very concerned as I already had a feeling I was slowly failing the current meds - I suffer from fistulising crohns so the symptoms are sudden and severe when I'm not in remission.

I've raised my concern with the IBD team and they're being really blasé about the whole situation. 'Don't worry, we'll just sort your prescription when the computer works again' level of blasé.

Does anyone know of my options here? I feel completely helpless waiting for an IT system to hopefully work again. ",First Week,All,ePrescribing,7
Social Media,Removed,Operating room become non-functional,Staff report operating rooms stop functioning due to cyberattack,Entire OR schedule - grind to a halt.,First Week,General Surgery; Orthopaedics; Obstetrics; Emergency & Acute Medicine,Booking Systems,7
Social Media,Removed,Operating room become non-functional,Staff report operating rooms stop functioning due to cyberattack,I’m a physician. We had to temporary close all our operating rooms and only open a few after a delay. Emergency cases only. All outpatient clinics closed for the day.  Many of these surgical slots and appointment times have been months in the waiting. It’ll take a very long time to catch back up. Oh and we have to hand chart and hand order everything and so much will get lost in translation when the computers are all fixed,First Day,General Surgery; Orthopaedics; Obstetrics; Emergency & Acute Medicine,Operating Rooms,8
Social Media,Removed,Outpatients cannot access life-critical medicines such as EpiPens,Patients report difficulties accessing prescription medications such as EpiPens due to cyberattack impacts on Pharmacies.,"It went public because A LOT of people couldn't get prescription medications and other approvals. I was trying to get my life saving EpiPens filled and the pharmacies were stuck.  Thankfully mine gave one box to me while they waited, but there was others that were completely blocked. I saw some people weren't able to get blood monitors and/or pumps for their diabetes too. I think it also hit the vast majority of the country including Medicare and Medicaid.",First Week,All,ePrescribing,7
Social Media,Removed,Outpatients cannot access post-operative pain medications,"Family member reports that their relative was discharged after a major operation, and was unable to obtain pain medications in the community due to pharmacy issues","My *** had major surgery and was released from the hospital yesterday. The pharmacy was closed so the hospital gave her pain medicine right before she left. Her doctor said he sent in the scripts (2 for pain) last night. I watched him do it on the computer.

9:30 AM I call the pharmacy to see if the medicine is ready and the pharmacist tells me there’s no scripts there for ***. According to the pharmacist the computer systems have been hacked (on Wednesday) and they haven’t been able to get many things that were sent in electronically.

She couldn’t do anything to help. We’ve called and left 2 messages for *** doctor. No response. We did also text their number. Nothing.

So here we are without any pain medicine after major surgery. The doctor doesn’t have an emergency line. I guess. Any other ideas for how we can help her?

My mind is kind of blown.",First Week,General Surgery; Orthopaedics; Obstetrics,ePrescribing,5
Social Media,Removed,Outpatients cannot access post-operative pain medications,"Another relative reports that their relative was discharged after a major operation, and was unable to obtain pain medications in the community due to pharmacy issues","Yup. Happened to me yesterday. This was for prescription sent to *** pharmacy. Luckily, my PCP has someone on-call and they sent to ***. They couldn't fill the whole prescription but most.  [In response to]: My *** had major surgery and was released from the hospital yesterday. The pharmacy was closed so the hospital gave her pain medicine right before she left. Her doctor said he sent in the scripts (2 for pain) last night. I watched him do it on the computer.",First Week,General Surgery; Orthopaedics; Obstetrics,ePrescribing,5
Social Media,Removed,Outpatients cannot access post-operative pain medications,"Patients discharged after a major operation, unable to obtain pain medications in the community due to pharmacy issues",This is the new normal for a lot of people now. I saw someone having brain surgery unable to access their post-op medications.,First Week,All,ePrescribing,5
Social Media,Removed,Outpatients cannot access regular asthma medications leading to worsening of symptoms and exacerbations,"Patients report not being able to access asthma medications (e.g. Spiriva) for asthma management, resulting in worsening of symptoms and, for some, hospitalisation for management of an acute exacerbation","*** tech here. I had a deathly flu and missed work the first week the cyber attack occurred. Then I couldn’t get my Spiriva filled and was off it for 5 days due to the cyber attack and was hospitalized for 3 days for an asthma exacerbation and missed work the second week after the attack occurred. Our ability to receive eScripts those first two weeks was down so we had to do hard copies, verbals, or faxes (most providers went with faxes). Obviously couldn’t process anything through insurance for awhile. Were billing some prescriptions through the in-house discount card once that came back up. Most insurances are back up now and we are able to send off prior authorization requests again as of midweek this week. Manufacturer coupons still do not work and patients are very angry as they use those to bring down the price of the expensive, brand-name only drugs. We cannot bill anything through worker’s comp for my state yet. We also cannot look up insurance information in our system still.  It has been a nightmare all around.   Being sick sucked and being hospitalized sucked even more but I am not sorry I missed the first two weeks of the cyber attack.",Week 2,General Medicine,ePrescribing,8
Social Media,Removed,Outpatients cannot access regular asthma medications leading to worsening of symptoms and exacerbations,"Patients report not being able to access asthma medications (e.g. Spiriva) for asthma management, resulting in worsening of symptoms and, for some, hospitalisation for management of an acute exacerbation","The recent Medicare rasomware attack has left me unable to get my disabled *** asthma medications for his nebulizer. In 2021 my *** had cardiac arrest due to asthma attack and putting him in a coma, he is now living back home, but severely disabled,he depends on me for everything, has trach, feeding tube, diapers, bed bound etc. I am now trying to live on his SSDI check which is very little. His nebulizer meds get billed through *** part b. However due to there billing being down, I can not find a pharmacy that is willing to fill his prescriptions. He has four that go into the nebulizer, costing roughly $1,500 per month. I have contacted senator, CMS agency, seems Ms *** who runs the program won't give out her phone number or email. I was told to take him to ER 2x a day for breathing treatments, he is in wheelchair, and max assist, so its difficult, I am    58 with back problems, not to mention the ER doesn't stock his asthma meds, his pulminologist also  does not have samples etc. My *** is now having several asthma attacks each day now due to not having his meds, *** has no idea when the system will be working again. Has anyone who is going through this been able to find a solution. I am very worried about the health of my husband.",Week 2,General Medicine,ePrescribing,8
Social Media,Removed,Outpatients cannot access regular asthma medications leading to worsening of symptoms and exacerbations,"Patients report not being able to access asthma medications (e.g. Spiriva) for asthma management, resulting in worsening of symptoms and, for some, hospitalisation for management of an acute exacerbation",I have been feeling awful like I have bronchitis and my chest feels like it’s bubbling and gurgling. I was really looking forward to getting started with Nucala after it finally got approved. But my hospital had a huge cyber/ransomware attack and they cannot open their computers. So who knows when I will be able to get back in. I’m so fucking depressed and feel so fucking miserable. Breathing burns and I just give up.,First Week,General Medicine,Health Records,7
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","Can’t even get medication refilled right now. I have one that goes through ascension rx specialty pharmacy; can’t really get it filled anywhere else without going through a painful series of authorizations and approvals (that’s also unlikely to be attainable right now as my doc is also ascension; and my insurance which is via ascension smart health, mandates that it’s filled through ascension rx).",First Week,All,ePrescribing,5
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.",(I have been commenting this pretty much everywhere people are discussing the ascension hack because I need help.)  I’m freaking out because all of my prescriptions are filled through ascension pharmacy and I have no idea what to do now. I go out of state across the country on 5/13 until 5/23 and without my meds I am completely bedridden. Does anyone have any advice or suggestions on how I can get my prescriptions filled elsewhere? I really don’t know what to do and I leave in 3 days.,First Week,All,ePrescribing,5
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","*** *** *** here. We don't even directly use Change and it's been a nightmare for everyone. People focused on Change Healthcare's role in the billing side of things but they were a major exchange network for a lot of clinical stuff as well. E-Prescriptions were the biggest immediate impact for our doctors. It only took a day or so for our support lines to light up with ""why can't I prescribe to Costco anymore"" and so on. Meanwhile one of the smaller laboratories our doctors connected with used Change as their communications platform, so they've had to go back to faxes.    The original problem was Change positioning itself as the ""exclusive"" connection to many major insurance companies. There are plenty of other clearinghouses out there but they all communicate to these companies through Change. Since then, the biggest problem is a lack of a timeline. Even now I have no idea when they'll be ""back"". The lab I spoke of mentioned that it would take a month to develop a new interface to get around Change so they were going to sit tight and hope Change would be back up soon. I'm guessing they're probably regretting that decision around now. Availity (the clearinghouse we work with) sends out updates with messages like ""here are the payers we were able to get alternate interfaces for, you'll need to sign this paperwork to get access to the connections then if Change comes back online we may or may not have to switch back and force everyone to re-enroll."" Claims connections are more-or-less working at this point so doctors are billing and getting paid, but the remittance connections are not up, so I have doctors who have $50k+ of deposits in their bank that they have no idea what for.",First Week,All,ePrescribing,4
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.",This has been a huge headache! My doctor sent 6 prescriptions electronically (as she always does) to my pharmacy. They didn’t go through. So I picked up a written copy of each prescription only to find out they would not be able to submit anything to my insurance. I paid for my essential meds out of pocket and waiting for insurance to get the ones I can live without for a few days.  I honestly feel so bad for the pharmacists/techs. I can only imagine the backlash they are getting from patients and there is very little they can do.,First Week,All,ePrescribing,4
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","This is a tough one for us, as our *** is on medication where our insurance does not cover it, however there is a coupon that drops medication from $1000 to $50. Unfortunately, the coupon is run through the impacted system, and is not processing so we either have to Switch to a new med (not advised) or pay upfront",First Week,Paediatrics,ePrescribing,4
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","They are also unable to process patient assistance copay cards. If you have commercial.insurance and expensive meds, they can be crucial to affording your meds. One med I have is $5140.00 and another is $400. Copay cards get those down to $0 and $80. But I was told I COULD just pay for them hahaha 😆 I wish I had that kind of cash lying around",First Week,All,ePrescribing,3
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","Yesterday just found out what is going on.  When I went to dr and was told, I would need to choose a different pharmacy. My go to, Costco and Safeway were on the list of unable to send scripts too. Fortunately Riteaid came through for me, had stock and had my script filled in a few hours. Finding stock for a lot of our scripts controlled and diabetics meds is a problem in our area as well.",First Week,All,ePrescribing,3
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","Earlier today I made the dreaded trip to the pharmacy to pay an outrageous amount for Vyvanse. Before I could even ask, the pharmacist told me that they apparently have come out with a new brand coupon in the last week (????) but she couldn’t look it up/add it to my account because there was a “system outage”. I clarified with her where to find this coupon and she confirmed the Vyvanse website, which currently doesn’t exist.

It’s crazy that she brought this up as I was scouring this sub for any gleam of hope right before driving there lol. I even double-clarified with her by asking, Yes there used to be one which expired last year.. but you’re saying that they’ve created a new one? And she confirmed Yes, since they created a generic, prices/demand have gone up so Vyvanse created another brand coupon.

Anyways has anyone else heard this from their pharmacy or otherwise?? What!

",First Week,All,ePrescribing,3
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","So I'm on 30mg of Dexedrine ER. They only make it in 5, 10 and 15mg pills. When I went from 20mg to 30mg, my doctor originally said to just take one pill and take another later if I felt I needed it. since 15mg once a day would literally have been a decreased dose, I asked if it would be okay to just go ahead and take two pills (30mg) every day instead, and he said that was okay. When I got the prescription, the bottle said only take it once per day, and there were only 30 pills. So it was only going to last me 15 days instead of a month. I later messaged my doctor explaining the issue and asked if he would write the next prescription as twice a day instead, and his assistant wrote back and said she would ask him and then he would fix it. (This was about 2 weeks ago.) So then, apparently there was a huge data breach or something, so they can't send e-scripts, I had to physically go to my doctor's office and get the script and bring it to my pharmacy. (A dew days ago,) Whatever. Got home and realized it had yet again been written for once a day and only 30 pills, so I called my doctor's office, get it fixed again, etc etc.
",Week 2,Psychiatry,ePrescribing,3
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","For those using Azsrays, you probably already know that the manufacturers coupon codes are not working.

When I went to my pharmacy yesterday to pick up my script, the pharmacist was not very helpful and just said coupon system was down so I could pay full price or wait for it to be resolved (unknown timeline). Apparently there was a cyber attack that affected corium and there are a lot of issues with coupons and payments currently.

I chose to wait to pick up my script because I really didn’t want to spend $160, and I am glad I did because after some internet digging I found out that corium is offering a temporary alternate coupon.

I just called corium and requested the new coupon info and they provided it without any issue. Whole process took less than 10 minutes and the cost dropped to $0.",Week 2,Psychiatry,ePrescribing,3
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","Hi all. I've been to CVS for the third time today and now they are telling me they cannot even run the temporary coupon, due to the system being down. This is the first they have told me this after attempting to run a coupon on my last 2 visits. I'm at my wits end and walked out fighting back tears of rage.  The pharmacist told me that Corium is reimbursing those who pay full charge. Has anyone tried this?  It's not even about the money for me, just the principal of being forced to pay $262 for an Rx that has never in two years cost more than $50. I'm livid.",Week 2,Psychiatry,ePrescribing,3
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","All of us medicated folk have had so much trouble with shortages and pharmacies unable to fill our prescriptions.  There’s currently yet another nationwide situation that will add to our difficulties.

A major platform that processes information to providers and facilities is under cyberattack and currently not transmitting information until further notice.  The platform is called Change Healthcare which is owned by United Healthcare.  Doctors, hospitals, pharmacies and other healthcare professionals are unable to access patient insurance eligibility, benefits or even verify coverage.  I’ve been reading that CVS has been particularly affected with both receiving electronic RX from doctors and checking patient benefits for their medications.  Because of this interruption, CVS is focusing on dispensing medication to the patients with life threatening conditions and when they do, may be charging full price because they have no access to what the co-pays are.  What an absolute mess.

If it’s time for your monthly refill, avoid sending the RX to CVS if at all possible.  We all know that medications for ADHD are already difficult to obtain and not usually prioritized by pharmacies, this certainly won’t help.  Plus they’re scrambling to operate without their systems working, so it’s most likely a shit show.  Because insurance info cannot be pulled, prepare to pay full price.

Google Change Healthcare for more information if you’re interested or have questions.  What an absolute mess of a situation.  ",Week 2,Psychiatry,ePrescribing,3
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","Add Meijers Pharmacy to this ordeal, can't fill our meds. Went to CVS, no dice!   Automated scripts are down at Meijers, said bring written scripts in they can be filled.  But hospital dont hand write scripts anymore saying it only electronicly sends directly now. WTF?   So Ill be in the hospital just to get my meds within 2 days if not fixed.   Luckily I had 3 days of meds or Id been there already.",Week 2,All,ePrescribing,3
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","Same with rite aid, I’ve been waiting to get my dyanavel for over a week now since they can’t process the coupon.",Week 2,Psychiatry,ePrescribing,4
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.","PSA: call your pharmacy when refilling your medication if you use a manufacturers coupon.  it might not work.

Here’s an [article](https://www.washingtonpost.com/wellness/2024/03/05/change-healthcare-hack-prescriptions-affect/) about the cyberattack.

I was not informed prior and when I went to swipe my card my Adzenys was $75 instead of $50. The person checking me out was like, “yeah, I don’t know how to explain it without confusing you… [failed to explain at all] but the coupon couldn’t be run and this is the best we could do”

I appreciate the pharmacy attempting to find a coupon to lower the cost but they should have called me when they processed it since the price went up by 50%!


Like many of you, I have been going through some much BS to get a hold of medication that I can afford and is available. I hit roadblock after roadblock. I’ve been trying to get on vyvanse for MONTHS and gave up because the name brand will still cost me $50, even with the insurance doing the override for the shortage. So I reluctantly asked my doctor to send Adzenys once again…

Thank goodness they didn’t CANCEL the Vyvanse from a few weeks ago (usually they cancel one if they send another, which makes any difficulties that would be solved by switching even more annoying).",Week 2,Psychiatry,ePrescribing,4
Social Media,Removed,Outpatients cannot access regular medications due to issues with pharmacies and prescribing,"The cyberattack resulted in pharmacies not being able to process prescriptions and coupons, preventing patients accessing their medications or facing high costs.",Preach. All of my psych meds are brand name with coupons. Picking up tomorrow should be fun. My trintellix was more than $500 with insurance and coupon. My adzenys is usually $115. My doctor just added Caplyta as an off label use and said she might have to say I'm bipolar to get it covered. Sigh.  It shouldn't be this hard.,Week 2,Psychiatry,ePrescribing,4
